-0.245,-0.632,1
-0.586,-0.482,1
-0.099,-0.345,1
-0.713,-0.710,1
-0.372,-0.643,1
-0.648,-0.206,1
-0.663,-0.613,1
-0.385,-0.324,1
-0.182,-0.019,1
-0.123,-0.722,1
-0.503,-0.536,1
-0.704,-0.257,1
-0.571,-0.654,1
-0.231,-0.109,1
-0.614,-0.596,1
-0.546,-0.330,1
-0.383,-0.699,1
-0.475,-0.589,1
-0.340,-0.387,1
-0.629,-0.737,1
-0.220,-0.569,1
-0.685,-0.395,1
-0.451,-0.288,1
-0.032,-0.466,1
-0.593,-0.429,1
0.568,0.613,2
0.092,0.561,2
0.493,0.308,2
0.669,0.234,2
0.599,0.543,2
0.724,0.127,2
0.369,0.440,2
0.398,0.529,2
0.261,0.419,2
0.180,0.220,2
0.368,0.681,2
0.639,0.342,2
0.442,0.121,2
0.296,0.516,2
0.161,0.143,2
0.256,0.090,2
0.580,0.206,2
0.649,0.741,2
0.620,0.340,2
0.379,0.694,2
0.100,0.511,2
0.289,0.128,2
0.702,0.478,2
0.673,0.127,2
0.159,0.547,2
0.425,-0.354,3
0.632,-0.523,3
0.296,-0.682,3
0.152,-0.128,3
0.694,-0.623,3
0.587,-0.324,3
0.473,-0.632,3
0.045,-0.651,3
0.340,-0.714,3
0.591,-0.090,3
0.164,-0.719,3
0.698,-0.612,3
0.720,-0.315,3
0.227,-0.437,3
0.340,-0.506,3
0.405,-0.294,3
0.505,-0.549,3
0.618,-0.388,3
0.317,-0.181,3
0.735,-0.553,3
0.094,-0.236,3
0.723,-0.537,3
0.500,-0.495,3
0.028,-0.567,3
0.487,-0.219,3
