25.2,201
28.4,228
30.1,238
22.4,184
20.55,172
27.5,211
29.8,245
24.3,191
26.0,211
23.4,203
22.7,187
21.6,175
26.9,215
28.3,235
25.1,195
27.4,225
29.2,245
23.1,185
21.0,170
27.85,220
30.212,240
26.54,205
24.454,210
23.25,190
25.454,180
20.231,165
28.656,220
29.2152,240
26.122,210
23.1121,220
22.0121,190
24.545,185
21.5456,170
25.2311,210
27.5454,230
28.122,215
30.2123,235
25.2121,195
22.21,180
21.21,175
29.12,230
26.31,240
23.154,200
20.5645,205
24.121,195
25.321,190
27.231,180
28.224,210
30.8789,240
26.6546,220
22.41564,205
29.2312,230
21.21,175
25.121,195
27.21,210
23.2121,235
26.131,215
28.564,235
30.564,250
24.54,195
22.6546,180
20.5456,165
25.65456,195
27.544,210
23.5454,200
26.54,215
28.62,240
30.456,215
25.231,235
22.231,200
21.231,180
29.3212,210
26.231,200
23.1254,190
20.15,185
24.154,170
